"After you have greeted in my words the best and most distinguished men Pellican_8127, Leon_1753, Theodore_8171, Megander_8412 and your other administrators; recommend me as you can dutifully; but especially greet your most holy wife, whom along with my brother and sister, I command you to greet warmly in Christ and who commend themselves to you as Christians. March 10, 1540.",Sender Info,Addressee Info,input,sender,receiver
13_1794_11840.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Farewell, my dearest and best brother in the Lord, along with your entire household, whom along with Walther_8011, our uniquely dear friend, and other friends and brothers you will most dutifully greet on my behalf.",my,"my brother in the Lord, your entire household, Walther_8011"
13_1794_11840.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",All of ours send you their greetings.,ours,you
13_1761_11807.xml,"<sender-id>3872 <firstname>Francis <name>Warner
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Many greetings, together with your wife, from Lord Richard Hilles and his wife, from whom you will receive a pair of knives for your wife, which D. Henry Falkner will deliver to you.","Lord Richard Hilles, his wife","you, your wife"
13_1831_11877.xml,"<sender-id>467 <firstname>Martin <name>Bucer
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Greet all our colleagues here formally on our behalf.,our,all our colleagues
13_1759_11805.xml,"<sender-id>1278 <firstname>Johannes <name>Gast
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",D. Andreas Wesalius salutes you most dutifully.,D. Andreas Wesalius,you
13_1726_11771.xml,"<sender-id>536 <firstname>Johannes <name>Caesarius
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Please greet (I beg you) with my words, the rest of the preachers there and especially my most beloved son, who met me in Cologne and greeted and conversated with me so sweetly and pleasantly that I can't not remember him, and also admonish him that he writes to me sometimes.",me,"the rest of the preachers, my son"
13_1801_11847.xml,"<sender-id>1057 <firstname>Peter <name>Fuchs
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Greet all your household and good friends and brothers for me.,me,"your household, friends, brothers"
13_1723_11768.xml,"<sender-id>495 <firstname>Heinrich <name>Bullinger
","<addressee-id>1903 <firstname>Johannes <name>Lening
",Greet in my name all the friends and brothers favouring me that you know.,my ,all the friends and brothers 
13_1718_11763.xml,"<sender-id>3481 <firstname>Simprecht <name>Vogt
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Lingkius_8090 and Grübellius_5056, my colleagues, send their greeting to you.","Lingkius_8090,  Grübellius_5056",you
13_1743_11789.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","In particular, you will most respectfully greet my Gvaltherus_8011, to whom it was absolutely necessary to write; but no opportunity was given at all.",you,Gvaltherus_8011
13_1737_11782.xml,"<sender-id>1010 <firstname>Matthias <name>Erb
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","You will be well with your church and your brothers, whom you will greet by name, especially Erasmus_8437, my Megandrum_8412, Pellican_8127 etc.",You,"your church, your brothers, Erasmus_8437, Megandrum_8412, Pellican_8127"
13_1715_11760.xml,"<sender-id>8440 <firstname>Gervasius <name>Schuler (Scholasticus)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","All the brothers and colleagues greet you through me, as well as Funckius_1257, our consul.","All the brothers and colleagues, Funckius_1257, our consul",you
13_1709_11754.xml,"<sender-id>8344 <firstname>Johannes <name>Fischer (Piscatorius)
","<addressee-id>8127 <firstname>Konrad <name>Pellikan (Kürschner)
<addressee-id>495 <firstname>Heinrich <name>Bullinger
<addressee-id>8171 <firstname>Theodor <name>Bibliander (Buchmann)
<addressee-id>8437 <firstname>Erasmus <name>Schmid (Fabricius)
",Greet each other with love.,sender,each other
13_1799_11845.xml,"<sender-id>495 <firstname>Heinrich <name>Bullinger
","<addressee-id>540 <firstname>Johannes <name>Calvin
","Your brothers Megander, Bibliander, Pellicanus, Gualtherus, and the rest greet you.","Megander, Bibliander, Pellicanus, Gualtherus",you
13_1767_11813.xml,"<sender-id>1278 <firstname>Johannes <name>Gast
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Greet D. Theodore_8171 and your wife.,sender,"D. Theodore_8171, your wife"
13_1762_11808.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Commend us to the brethren, to whom with all your house say much greeting in our words.",us,"the brethren, all your house"
13_1762_11808.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Everyone of ours send their greetings to you.,ours,you
13_1732_11777.xml,"<sender-id>1548 <firstname>Richard <name>Hilles
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Farewell, and extend my deepest regards to your beloved wife and to all the most pious and learned men, whom I know through your assistance, there. ",my ,"your wife, most pious and learned men"
13_1754_11800.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","My brother and our friends and administrators, including Zviccio_4082, send you their heartfelt greetings in the Lord and entrust themselves to you.","My brother, our friends and administrators,  Zviccio_4082",you
13_1754_11800.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Please convey my greetings to my most excellent brothers, Pellicanum_8127, Gvaltherum_8011, Theodorus_8171, Megandrum_8412 and Fabritium_8437. I sincerely wish that in the Lord they will support me with their most pious prayers.",me,"Pellicanum_8127, Gvaltherum_8011, Theodorus_8171, Megandrum_8412, Fabritium_8437"
13_1807_11853.xml,"<sender-id>1057 <firstname>Peter <name>Fuchs
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Greetings to all my good lords and brethren, my lord mayor, and all my other good friends.",sender,"all my good lords and brethren, my lord mayor, all my other good friends."
13_1807_11853.xml,,"<addressee-id>495 <firstname>Heinrich <name>Bullinger
",My household also sends its greetings to you.,My household,you
13_1776_11822.xml,"<sender-id>8377 <firstname>Martin <name>Hentius (Heinz, Transsylvanus)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Farewell, my very dear friend, and greet each one most dear to me.",me,my friend
13_1776_11822.xml,"<sender-id>8377 <firstname>Martin <name>Hentius (Heinz, Transsylvanus)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Thirdly, I ask that Laurentius Sybenbyrger, if he is still with you, be greeted affectionately.",I,"Laurentius Sybenbyrger, you"
13_1747_11793.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Salute your entire household with Theodore, Gvaltherus, Pellicanus, Megander, Erasmus, and all the rest who love the name of our Lord Jesus Christ, and love us in him.",sender,"your household, Theodore, Gvaltherus, Pellicanus, Megander, Erasmus"
13_1747_11793.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","All of ours greet you and entrust themselves to you, especially my German brother and Zviccius with Paul Fagius.",ours,"Zviccius, Paul Fagius"
13_1727_11772.xml,"<sender-id>714 <firstname>Celio Secondo <name>Curione
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Greet Mr. Pelican, Megandrus_8412, Bibliander_8171, Gvalter_8011, and the excellent Gesner_1283 and others on my behalf.",my,"Mr. Pelican, Megandrus_8412, Bibliander_8171, Gvalter_8011, Gesner_1283"
13_1727_11772.xml,"<sender-id>714 <firstname>Celio Secondo <name>Curione
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","All the brothers who are here, and especially my Viretus_3429, greet you.",Viretus_3429,you
13_1727_11772.xml,"<sender-id>714 <firstname>Celio Secondo <name>Curione
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","I beg you, greet your wife, a most holy woman, and all your children one by one, on my behalf and on behalf of my wife.","my, my wife","you, your wife, all your children"
13_1783_11829.xml,"<sender-id>1049 <firstname>Guillaume <name>Farel
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
<addressee-id>8171 <firstname>Theodor <name>Bibliander (Buchmann)
",Corderius sends you warm greetings.,Corderius,you
13_1783_11829.xml,"<sender-id>1049 <firstname>Guillaume <name>Farel
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
<addressee-id>8171 <firstname>Theodor <name>Bibliander (Buchmann)
","The brothers salute you again and again, and greet you very courteously.",The brothers,you
13_1786_11832.xml,"<sender-id>1553 <firstname>Christian <name>Hochholzer
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Greet your wife, each of your children, and your servant in my name.",my,"your wife, your children, your servant"
13_1800_11846.xml,"<sender-id>3889 <firstname>Niklaus <name>Wyttenbach
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Please command me to my honorable Lord Mayor Röisch_2816, along with his esteemed friendship, and also wish all good will and greetings to them.",me,Lord Mayor Röisch
13_1755_11801.xml,"<sender-id>1278 <firstname>Johannes <name>Gast
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","After the index has been completed into a large volume, you will have it, if I conveniently run into the courier, and I will assign a price and, as much as I can at the cheap, but fair, I'll buy from the doctor, who also sends greetings to you.",the doctor,you
13_1755_11801.xml,"<sender-id>1278 <firstname>Johannes <name>Gast
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Greet D. Theodorum_8171 and Phrisium_4844.,sender,"D. Theodorum_8171,  Phrisium_4844."
13_1824_11870.xml,"<sender-id>152 <firstname>Baldassare <name>Altieri
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","My lord sends you many greetings, not less the rest of the brothers, especially those who are bound for Christ_17817 among us.","My lord, the rest of the brothers",you
13_1824_11870.xml,"<sender-id>152 <firstname>Baldassare <name>Altieri
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Greet all the saints of the church of Zurich, and primarily yourself, and love us in the Lord, in whom you can do all things, and may you live happily for a long time.",sender,"all the saints of the church of Zurich, yourself"
13_1714_11759.xml,"<sender-id>1278 <firstname>Johannes <name>Gast
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Farewell, and you will greet Theodore_8171 in my name.",on my behalf,"you, Theodore_8171"
13_1711_11756.xml,"<sender-id>8418 <firstname>Oswald <name>Myconius (Geißhüsler)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",You will greet Theodore_8171 and Pellican_8127.,You,"Theodore_8171, Pellican_8127"
13_1803_11849.xml,"<sender-id>467 <firstname>Martin <name>Bucer
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",All fellow disciples send you their greetings. We commend ourselves and all our affairs to them in the Lord.,All fellow disciples,you
13_1721_11766.xml,"<sender-id>8440 <firstname>Gervasius <name>Schuler (Scholasticus)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Greet the pious, god-loving Pellican, master Casparnn_8412, Binderum_344 and all servants of the word.",me,"Pellican,  Casparnn_8412,  Binderum_344,  all servants of the word"
13_1721_11766.xml,"<sender-id>8440 <firstname>Gervasius <name>Schuler (Scholasticus)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Lord Frederich_6959, my colleague, sends you his highest greetings; at the same time, my wife wishes you, your wife, and your family well-being.","Lord Frederich_6959, my colleague, my wife","you, your wife, your family"
13_1721_11766.xml,"<sender-id>8440 <firstname>Gervasius <name>Schuler (Scholasticus)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","I dare not demand letters from you, for I have not yet recovered my ineptness, but nonetheless, I would like to have a friendly greeting from you, it could not be better.",I,you
13_1719_11764.xml,"<sender-id>2448 <firstname>Oswald <name>Pergener
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Many brothers greet you, especially Onofrius Strategus_6717, Celestinus Hennig_8376.","Onofrius Strategus_6717, Celestinus Hennig_8376",you
13_1806_11852.xml,"<sender-id>1010 <firstname>Matthias <name>Erb
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Greetings to Bullinger.,sender,Bullinger
13_1724_11769.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",All of ours send their greetings to you.,ours,you
13_1753_11799.xml,"<sender-id>8377 <firstname>Martin <name>Hentius (Heinz, Transsylvanus)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",I greet Lord Conrad Pellican_8127 and his very honorable wife very warmly.,I,"Lord Conrad Pellican_8127,  his wife"
13_1738_11783.xml,"<sender-id>8114 <firstname>Nikolaus <name>Pfister (Artopoeus, Baling)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","If I fare well, Mr. Mathaeus will explain in person, and about the matter of Erasmus_2810 at Bern. My little Elizabeth_2600 sends a great greeting to you and your wife and all your family.",Elizabeth_2600,"you, your wife,  your family"
13_1735_11780.xml,"<sender-id>2237 <firstname>Martin <name>Mötteli
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Sending my greetings to your dear housewife and all good gentlemen and brothers, especially Theodorum_8171.",my,"your housewife,all good gentlemen and brothers, Theodorum_8171"
13_1808_11854.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Greet your whole household with the heralds of the word of grace and with all your friends.,sender,your household
13_1808_11854.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Our people all send you greetings.,Our ,you
13_1779_11825.xml,"<sender-id>495 <firstname>Heinrich <name>Bullinger
","<addressee-id>2095 <firstname>Philipp <name>Melanchthon
","(Your friends) D. Megander, D. Pellicanus, D. Bibliander, and Erasmus Fabrilius, Ministers of our Church: also your school Professors: D. Ammianus, Collinus, Gessnerus, Werdmyller, and Celer, greet you.","D. Megander, D. Pellicanus, D. Bibliander, Erasmus Fabrilius, D. Ammianus, Collinus, Gessnerus, Werdmyller, Celer",you
13_1733_11778.xml,"<sender-id>495 <firstname>Heinrich <name>Bullinger
","<addressee-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","Therefore, I pray by our love and friendship, that you introduce him to d. Frecht_1055, whom you will also greet on my behalf, and that Frecht_1055 and you commend him to d. Osiander_2301, so that he himself will assist his cause. ",my,"you, d. Frecht_1055, d. Osiander_2301"
13_1811_11857.xml,"<sender-id>1278 <firstname>Johannes <name>Gast
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Greet mister Theodore_8171 and mister Vadianus_8049 with Pellicanus_8127 and the other brothers.,sender,"Theodore_8171, Vadianus_8049, Pellicanus_8127"
13_1744_11790.xml,"<sender-id>1413 <firstname>Anna <name>Hilles
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Please, also greet your beloved wife in the Lord for me, for whom you will also receive a small gift enclosed as a sign of friendship.",me,your wife
13_1744_11790.xml,"<sender-id>1413 <firstname>Anna <name>Hilles
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","A servant of mine from our family sends his greetings, although he is unknown in person, whose assistance I have used in composing this letter.",A servant of mine from our family,you
13_1821_11867.xml,"<sender-id>714 <firstname>Celio Secondo <name>Curione
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","You will greet d. Pellican_8127, the most holy old man, Bibliander_8171 most learned and Megander_8412, Gwalter_8011 most charming and Pinarium, the most diligent of teachers and a good man, and others, who recognize us and to whom we owe something, especially Gesner_1283, the sharpest physician and philosopher.",You,"d. Pellican_8127, Bibliander_8171,Megander_8412, Gwalter_8011,Pinarium, Gesner_1283"
13_1821_11867.xml,"<sender-id>714 <firstname>Celio Secondo <name>Curione
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","My wife salutes you and your wife with children and the whole family, and she also endowed me with a little daughter in the Lord in the last few days.",My wife,"you, your wife, your children, the whole family"
13_1821_11867.xml,"<sender-id>714 <firstname>Celio Secondo <name>Curione
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Viret_3429 and Ribit_6216 greet you.,"Viret_3429, Ribit_6216",you
13_1796_11842.xml,"<sender-id>1057 <firstname>Peter <name>Fuchs
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Greet my wife, Sir Gwaltherum, Master Jacob Sprungly_6657, his wife and all other good friends a thousand times.",sender,"my wife, Sir Gwaltherum, Master Jacob Sprungly_6657, his wife"
13_1788_11834.xml,"<sender-id>495 <firstname>Heinrich <name>Bullinger
","<addressee-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
",You will greet all of yours diligently.,You,yours
13_1791_11837.xml,"<sender-id>1278 <firstname>Johannes <name>Gast
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","You will greet D. Vadianus_8049, a pious and excellent man, on my behalf, if you're going to write to him; similarly, send my warmest regards to Theodor_8171, a divine man.",my ,"D. Vadianus_8049, Theodor_8171"
13_1805_11851.xml,"<sender-id>8082 <firstname>Johann Leopold (Lüpold) <name>Frey
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","And my brothers, most worthy masters, also greet me.",my brothers,me
13_1805_11851.xml,"<sender-id>8082 <firstname>Johann Leopold (Lüpold) <name>Frey
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","You will also greet on my behalf all those of yours and mine, to whom I was not allowed to write due to the messenger's swift departure.",my,yours
13_1749_11795.xml,"<sender-id>495 <firstname>Heinrich <name>Bullinger
","<addressee-id>8049 <firstname>Joachim <name>Vadian (von Watt)
","That drunkard, who came here for the sake of investigation, whether he might have been infected with leprosy, left without greeting me; therefore, I kept the letters I had written to you up to this point; now I send them through the honorable Clarer_1861, my beloved brother.",I,Clarer_1861
13_1765_11811.xml,"<sender-id>8377 <firstname>Martin <name>Hentius (Heinz, Transsylvanus)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Greet everyone, especially Mr. Bibliandrum_8171 and please excuse me for not writing to him; likewise Mr. Christoph Froschouer_1227, Mr. Gvalder, Master Otto Werthmiller, etc.",sender,"Mr. Bibliandrum_8171, Mr. Christoph Froschouer_1227, Mr. Gvalder, Master Otto Werthmiller"
13_1827_11873.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",All our people send their regards to you.,our ,you
13_1827_11873.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","On my behalf, send greetings to your whole household, to consul Röstio_2816 and his son with his wife.",my,"your household, consul Röstio_2816, his son, his son's wife"
13_1827_11873.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",You will warmly and frequently greet our friend Gvaltherum_8011 who is one of a kind and the best.,You,Gvaltherum_8011
13_1730_11775.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Greet the whole house along with all the brothers and friends.,Sender ,"the house, all the brothers, friends."
13_1793_11839.xml,"<sender-id>495 <firstname>Heinrich <name>Bullinger
","<addressee-id>1010 <firstname>Matthias <name>Erb
",You would greet your very dear Mr. Nicolas the King_8088 and the other brothers.,You,"Mr. Nicolas the King_8088, the other brothers"
13_1793_11839.xml,"<sender-id>495 <firstname>Heinrich <name>Bullinger
","<addressee-id>1010 <firstname>Matthias <name>Erb
","The beloved godfather Mr. Megander_8412 sends his greetings to you, along with the other brothers.",Mr. Megander_8412,you
13_1793_11839.xml,"<sender-id>495 <firstname>Heinrich <name>Bullinger
","<addressee-id>1010 <firstname>Matthias <name>Erb
",You would particularly greet and commend Vogler_8071.,You,Vogler_8071
13_1745_11791.xml,"<sender-id>2700 <firstname>Hans <name>Ratgeb
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","I would ask you to greet Mr. Heinrich Gölldlin for me, and to show him the new sea, as his pagan or holy father, the pope, does.",I,"you, Mr. Heinrich Gölldlin"
13_1770_11816.xml,"<sender-id>152 <firstname>Baldassare <name>Altieri
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","When you have some spare time, write to us; your letters or those of your brothers, whom you will greet on behalf of myself and others, will greatly alleviate our discomforts. You will pray for us, as we do for you diligently and reciprocally.",myself,"you, your brothers"
13_1716_11761.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Salute, as sincerely as possible, all the brothers and friends, especially Mr Rostius, the consul, with his wife and all your household, especially also to Rudolph Gualther_8011 our friend, who neither out of leisure nor phlegm was able to write.",sender,"Mr Rostius, the consul, his wife, your household, Rudolph Gualther_8011"
